Buffer_ID,class
QN127213,10000-15000
SI89561,under 10000
BX427159,30000-40000
BX319813,over 60000
QN19999,over 60000
SI5255,20000-30000
BK551035,40000-50000
QN1022817,20000-30000
SI18015,15000-20000
BX48046,15000-20000
BK225010,over 60000
QN324945,15000-20000
BK96415,40000-50000
QN317970,15000-20000
QN132546,10000-15000
SI53119,15000-20000
BK40046,40000-50000
QN552998,15000-20000
BX486146,40000-50000
BX37907,40000-50000
MN161734,over 60000
BX323425,40000-50000
BX488537,20000-30000
BX425750,40000-50000
BK658025,over 60000
SI35531,10000-15000
MN172224,40000-50000
SI636046,under 10000
QN82118,10000-15000
BK820321,30000-40000
QN329729,10000-15000
BK162373,40000-50000
SI696310,under 10000
BX283325,over 60000
BK769119,30000-40000
BK316648,40000-50000
SI3754,20000-30000
BK35666,40000-50000
SI778065,under 10000
BK257620,30000-40000
BX46023,40000-50000
MN195720,over 60000
BK144222,40000-50000
QN9249109,20000-30000
SI622823,under 10000
BK82928,40000-50000
BX25337,40000-50000
SI792389,under 10000
MN161723,over 60000
BX405670,30000-40000
SI627346,10000-15000
SI615205,10000-15000
QN157854,30000-40000
MN200724,over 60000
SI7267109,10000-15000
SI441439,under 10000
QN160157,over 60000
BX5413111,10000-15000
SI668131,under 10000
SI121880,15000-20000
SI657057,under 10000
BX5633127,under 10000
BX388325,over 60000
SI60419,under 10000
QN1346752,15000-20000
BX274541,over 60000
QN913535,20000-30000
SI279140,under 10000
BK546244,30000-40000
SI59831,under 10000
QN290547,20000-30000
SI114173,15000-20000
SI3340104,10000-15000
BX29658,40000-50000
BX347321,20000-30000
BK175428,40000-50000
QN1343476,10000-15000
BX485236,40000-50000
QN238067,20000-30000
MN19273,over 60000
BK125426,over 60000
BX266939,over 60000
QN503789,40000-50000
QN8198179,under 10000
QN3788106,20000-30000
BX48027,15000-20000
SI779814,under 10000
QN120956,10000-15000
QN1251916,20000-30000
SI17112,15000-20000
SI628153,under 10000
BX58141208,under 10000
BX3343683,over 60000
QN33116,20000-30000
QN803523,under 10000
SI23882,15000-20000
QN1288641,10000-15000
BK153546,30000-40000
